date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,562.0,317,0,
2020-03-29,737513,561.0,504,0,504.0
2020-03-30,737514,702.0,322,0,413.0
2020-03-31,737515,787.0,392,0,406.0
2020-04-01,737516,956.0,730,0,487.0
2020-04-02,737517,1025.0,669,0,523.4
2020-04-03,737518,1130.0,659,0,546.0
2020-04-04,737519,1153.0,788,0,580.5714285714286
2020-04-05,737520,1072.0,681,0,605.8571428571429
2020-04-06,737521,1071.0,480,0,628.4285714285714
2020-04-07,737522,1068.0,988,0,713.5714285714286
2020-04-08,737523,1089.0,1092,0,765.2857142857143
2020-04-09,737524,1112.0,877,0,795.0
2020-04-10,737525,1137.0,1441,0,906.7142857142857
2020-04-11,737526,1151.0,890,0,921.2857142857143
2020-04-12,737527,1137.0,923,0,955.8571428571429
2020-04-13,737528,1327.0,422,0,947.5714285714286
2020-04-14,737529,1653.0,718,0,909.0
2020-04-15,737530,1608.0,868,0,877.0
2020-04-16,737531,1628.0,963,0,889.2857142857143
2020-04-17,737532,1668.0,916,0,814.2857142857143
2020-04-18,737533,1550.0,889,0,814.1428571428571
2020-04-19,737534,1556.0,663,0,777.0
2020-04-20,737535,1798.0,535,0,793.1428571428571
2020-04-21,737536,1890.0,738,0,796.0
2020-04-22,737537,1840.0,873,0,796.7142857142857
2020-04-23,737538,2169.0,875,0,784.1428571428571
2020-04-24,737539,2131.0,862,0,776.4285714285714
2020-04-25,737540,2113.0,967,0,787.5714285714286
2020-04-26,737541,2123.0,858,0,815.4285714285714
2020-04-27,737542,2063.0,666,0,834.1428571428571
2020-04-28,737543,2156.0,874,0,853.5714285714286
2020-04-29,737544,2133.0,883,0,855.0
2020-04-30,737545,2053.0,1033,0,877.5714285714286
2020-05-01,737546,1954.0,1142,0,917.5714285714286
2020-05-02,737547,1950.0,1293,0,964.1428571428571
2020-05-03,737548,1944.0,1026,0,988.1428571428571
2020-05-04,737549,2106.0,784,0,1005.0
