date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,0.0,122,0,
2020-03-29,737513,0.0,201,0,201.0
2020-03-30,737514,0.0,17,0,109.0
2020-03-31,737515,1.0,128,0,115.33333333333333
2020-04-01,737516,24.0,78,0,106.0
2020-04-02,737517,140.0,153,0,115.4
2020-04-03,737518,160.0,81,0,109.66666666666667
2020-04-04,737519,108.0,182,0,120.0
2020-04-05,737520,91.0,177,0,116.57142857142857
2020-04-06,737521,103.0,111,0,130.0
2020-04-07,737522,146.0,88,0,124.28571428571429
2020-04-08,737523,115.0,112,0,129.14285714285714
2020-04-09,737524,118.0,145,0,128.0
2020-04-10,737525,107.0,41,0,122.28571428571429
2020-04-11,737526,103.0,104,0,111.14285714285714
2020-04-12,737527,100.0,132,0,104.71428571428571
2020-04-13,737528,99.0,54,0,96.57142857142857
2020-04-14,737529,167.0,61,0,92.71428571428571
2020-04-15,737530,144.0,184,0,103.0
2020-04-16,737531,182.0,123,0,99.85714285714286
2020-04-17,737532,182.0,45,0,100.42857142857143
2020-04-18,737533,155.0,141,0,105.71428571428571
2020-04-19,737534,128.0,205,0,116.14285714285714
2020-04-20,737535,182.0,108,0,123.85714285714286
2020-04-21,737536,204.0,110,0,130.85714285714286
2020-04-22,737537,195.0,171,0,129.0
2020-04-23,737538,225.0,182,0,137.42857142857142
2020-04-24,737539,186.0,60,0,139.57142857142858
2020-04-25,737540,143.0,166,0,143.14285714285714
2020-04-26,737541,176.0,266,0,151.85714285714286
2020-04-27,737542,215.0,93,0,149.71428571428572
2020-04-28,737543,226.0,116,0,150.57142857142858
2020-04-29,737544,218.0,182,0,152.14285714285714
2020-04-30,737545,198.0,148,0,147.28571428571428
2020-05-01,737546,212.0,75,0,149.42857142857142
2020-05-02,737547,187.0,153,0,147.57142857142858
2020-05-03,737548,162.0,280,0,149.57142857142858
2020-05-04,737549,229.0,145,0,157.0
2020-05-05,737550,247.0,124,0,158.14285714285714
2020-05-06,737551,245.0,65,0,141.42857142857142
2020-05-07,737552,247.0,199,0,148.71428571428572
2020-05-08,737553,237.0,247,0,173.28571428571428
2020-05-09,737554,152.0,193,0,179.0
2020-05-10,737555,196.0,83,0,150.85714285714286
2020-05-11,737556,183.0,78,0,141.28571428571428
2020-05-12,737557,219.0,153,0,145.42857142857142
2020-05-13,737558,229.0,127,0,154.28571428571428
2020-05-14,737559,196.0,162,0,149.0
2020-05-15,737560,237.0,175,0,138.71428571428572
2020-05-16,737561,207.0,154,0,133.14285714285714
2020-05-17,737562,170.0,139,0,141.14285714285714
2020-05-18,737563,205.0,154,0,152.0
2020-05-19,737564,184.0,136,0,149.57142857142858
2020-05-20,737565,166.0,213,0,161.85714285714286
2020-05-21,737566,172.0,173,0,163.42857142857142
2020-05-22,737567,153.0,198,0,166.71428571428572
2020-05-23,737568,154.0,152,0,166.42857142857142
2020-05-24,737569,153.0,169,0,170.71428571428572
2020-05-25,737570,144.0,84,0,160.71428571428572
2020-05-26,737571,212.0,74,0,151.85714285714286
2020-05-27,737572,186.0,157,0,143.85714285714286
2020-05-28,737573,173.0,322,0,165.14285714285714
2020-05-29,737574,172.0,292,0,178.57142857142858
2020-05-30,737575,155.0,259,0,193.85714285714286
2020-05-31,737576,169.0,256,0,206.28571428571428
2020-06-01,737577,188.0,157,0,216.71428571428572
2020-06-02,737578,189.0,252,0,242.14285714285714
2020-06-03,737579,195.0,384,0,274.57142857142856
2020-06-04,737580,194.0,278,0,268.2857142857143
2020-06-05,737581,238.0,237,0,260.42857142857144
2020-06-06,737582,202.0,687,0,321.57142857142856
2020-06-07,737583,240.0,178,0,310.42857142857144
2020-06-08,737584,291.0,312,0,332.57142857142856
2020-06-09,737585,239.0,275,0,335.85714285714283
2020-06-10,737586,159.0,344,0,330.14285714285717
2020-06-11,737587,301.0,381,0,344.85714285714283
2020-06-12,737588,212.0,360,0,362.42857142857144
2020-06-13,737589,333.0,395,0,320.7142857142857
2020-06-14,737590,286.0,285,0,336.0
2020-06-15,737591,323.0,357,0,342.42857142857144
2020-06-16,737592,325.0,315,0,348.14285714285717
2020-06-17,737593,282.0,398,0,355.85714285714283
2020-06-18,737594,285.0,660,0,395.7142857142857
2020-06-19,737595,286.0,627,0,433.85714285714283
2020-06-20,737596,230.0,574,0,459.42857142857144
2020-06-21,737597,263.0,425,0,479.42857142857144
2020-06-22,737598,269.0,310,0,472.7142857142857
2020-06-23,737599,233.0,525,0,502.7142857142857
2020-06-24,737600,285.0,525,0,520.8571428571429
2020-06-25,737601,317.0,631,0,516.7142857142857
2020-06-26,737602,357.0,665,0,522.1428571428571
2020-06-27,737603,284.0,505,0,512.2857142857143
2020-06-28,737604,248.0,464,0,517.8571428571429
2020-06-29,737605,301.0,813,0,589.7142857142857
2020-06-30,737606,259.0,483,0,583.7142857142857
2020-07-01,737607,236.0,640,0,600.1428571428571
2020-07-02,737608,293.0,535,0,586.4285714285714
2020-07-03,737609,274.0,650,0,584.2857142857143
2020-07-04,737610,268.0,431,0,573.7142857142857
2020-07-05,737611,271.0,498,0,578.5714285714286
2020-07-06,737612,337.0,504,0,534.4285714285714
2020-07-07,737613,240.0,702,0,565.7142857142857
2020-07-08,737614,252.0,774,0,584.8571428571429
2020-07-09,737615,283.0,574,0,590.4285714285714
2020-07-10,737616,270.0,909,0,627.4285714285714
2020-07-11,737617,252.0,642,0,657.5714285714286
2020-07-12,737618,231.0,572,0,668.1428571428571
2020-07-13,737619,325.0,545,0,674.0
2020-07-14,737620,314.0,474,0,641.4285714285714
2020-07-15,737621,256.0,468,0,597.7142857142857
2020-07-16,737622,322.0,923,0,647.5714285714286
2020-07-17,737623,247.0,805,0,632.7142857142857
2020-07-18,737624,317.0,653,0,634.2857142857143
2020-07-19,737625,255.0,637,0,643.5714285714286
2020-07-20,737626,247.0,402,0,623.1428571428571
2020-07-21,737627,256.0,564,0,636.0
2020-07-22,737628,263.0,606,0,655.7142857142857
2020-07-23,737629,262.0,635,0,614.5714285714286
2020-07-24,737630,242.0,792,0,612.7142857142857
2020-07-25,737631,291.0,383,0,574.1428571428571
2020-07-26,737632,241.0,438,0,545.7142857142857
2020-07-27,737633,257.0,413,0,547.2857142857143
2020-07-28,737634,269.0,422,0,527.0
2020-07-29,737635,267.0,605,0,526.8571428571429
2020-07-30,737636,285.0,316,0,481.2857142857143
2020-07-31,737637,292.0,539,0,445.14285714285717
2020-08-01,737638,347.0,583,0,473.7142857142857
2020-08-02,737639,306.0,379,0,465.2857142857143
2020-08-03,737640,251.0,394,0,462.57142857142856
2020-08-04,737641,276.0,391,0,458.14285714285717
2020-08-05,737642,278.0,552,0,450.57142857142856
2020-08-06,737643,265.0,510,0,478.2857142857143
2020-08-07,737644,257.0,461,0,467.14285714285717
2020-08-08,737645,138.0,23,0,387.14285714285717
2020-08-09,737646,263.0,624,0,422.14285714285717
2020-08-10,737647,246.0,292,0,407.57142857142856
2020-08-11,737648,271.0,393,0,407.85714285714283
2020-08-12,737649,247.0,323,0,375.14285714285717
2020-08-13,737650,231.0,433,0,364.14285714285717
2020-08-14,737651,233.0,473,0,365.85714285714283
2020-08-15,737652,239.0,314,0,407.42857142857144
2020-08-16,737653,178.0,306,0,362.0
