date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,4.0,135,0,
2020-03-29,737513,5.0,281,0,281.0
2020-03-30,737514,59.0,0,0,140.5
2020-03-31,737515,120.0,464,0,248.33333333333334
2020-04-01,737516,177.0,222,0,241.75
2020-04-02,737517,189.0,306,0,254.6
2020-04-03,737518,200.0,0,0,212.16666666666666
2020-04-04,737519,133.0,395,0,238.28571428571428
2020-04-05,737520,130.0,471,0,265.42857142857144
2020-04-06,737521,212.0,455,0,330.42857142857144
2020-04-07,737522,222.0,312,0,308.7142857142857
2020-04-08,737523,219.0,397,0,333.7142857142857
2020-04-09,737524,201.0,467,0,356.7142857142857
2020-04-10,737525,213.0,0,0,356.7142857142857
2020-04-11,737526,124.0,568,0,381.42857142857144
2020-04-12,737527,172.0,670,0,409.85714285714283
2020-04-13,737528,276.0,424,0,405.42857142857144
2020-04-14,737529,466.0,329,0,407.85714285714283
2020-04-15,737530,443.0,389,0,406.7142857142857
2020-04-16,737531,484.0,602,0,426.0
2020-04-17,737532,467.0,562,0,506.2857142857143
2020-04-18,737533,314.0,0,0,425.14285714285717
2020-04-19,737534,315.0,937,0,463.2857142857143
2020-04-20,737535,386.0,640,0,494.14285714285717
2020-04-21,737536,447.0,0,0,447.14285714285717
2020-04-22,737537,542.0,1368,0,587.0
2020-04-23,737538,565.0,596,0,586.1428571428571
2020-04-24,737539,557.0,772,0,616.1428571428571
2020-04-25,737540,471.0,0,0,616.1428571428571
2020-04-26,737541,479.0,1169,0,649.2857142857143
2020-04-27,737542,590.0,804,0,672.7142857142857
2020-04-28,737543,576.0,622,0,761.5714285714286
2020-04-29,737544,554.0,885,0,692.5714285714286
2020-04-30,737545,799.0,1055,0,758.1428571428571
2020-05-01,737546,791.0,0,0,647.8571428571429
2020-05-02,737547,680.0,830,0,766.4285714285714
2020-05-03,737548,692.0,1761,0,851.0
2020-05-04,737549,821.0,0,0,736.1428571428571
2020-05-05,737550,872.0,764,0,756.4285714285714
2020-05-06,737551,877.0,0,0,630.0
2020-05-07,737552,858.0,2086,0,777.2857142857143
2020-05-08,737553,845.0,0,0,777.2857142857143
2020-05-09,737554,732.0,854,0,780.7142857142857
2020-05-10,737555,719.0,1874,0,796.8571428571429
2020-05-11,737556,843.0,730,0,901.1428571428571
2020-05-12,737557,1547.0,946,0,927.1428571428571
2020-05-13,737558,1591.0,1067,0,1079.5714285714287
2020-05-14,737559,1566.0,859,0,904.2857142857143
2020-05-15,737560,1599.0,1011,0,1048.7142857142858
2020-05-16,737561,1504.0,705,0,1027.4285714285713
2020-05-17,737562,769.0,752,0,867.1428571428571
2020-05-18,737563,846.0,1005,0,906.4285714285714
2020-05-19,737564,1050.0,763,0,880.2857142857143
2020-05-20,737565,997.0,1229,0,903.4285714285714
2020-05-21,737566,1015.0,813,0,896.8571428571429
2020-05-22,737567,980.0,799,0,866.5714285714286
2020-05-23,737568,880.0,495,0,836.5714285714286
2020-05-24,737569,688.0,1483,0,941.0
2020-05-25,737570,723.0,1615,0,1028.142857142857
2020-05-26,737571,1027.0,907,0,1048.7142857142858
2020-05-27,737572,1082.0,1152,0,1037.7142857142858
2020-05-28,737573,1069.0,1132,0,1083.2857142857142
