date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,40.0,25,0,
2020-03-29,737513,31.0,21,0,21.0
2020-03-30,737514,20.0,21,0,21.0
2020-03-31,737515,24.0,37,0,26.333333333333332
2020-04-01,737516,27.0,27,0,26.5
2020-04-02,737517,26.0,37,0,28.6
2020-04-03,737518,32.0,29,0,28.666666666666668
2020-04-04,737519,27.0,63,0,33.57142857142857
2020-04-05,737520,23.0,50,0,37.714285714285715
2020-04-06,737521,23.0,29,0,38.857142857142854
2020-04-07,737522,52.0,32,0,38.142857142857146
2020-04-08,737523,53.0,28,0,38.285714285714285
2020-04-09,737524,56.0,18,0,35.57142857142857
2020-04-10,737525,59.0,47,0,38.142857142857146
2020-04-11,737526,55.0,30,0,33.42857142857143
2020-04-12,737527,49.0,18,0,28.857142857142858
2020-04-13,737528,47.0,18,0,27.285714285714285
2020-04-14,737529,54.0,5,0,23.428571428571427
2020-04-15,737530,49.0,9,0,20.714285714285715
2020-04-16,737531,43.0,7,0,19.142857142857142
2020-04-17,737532,44.0,11,0,14.0
2020-04-18,737533,31.0,9,0,11.0
2020-04-19,737534,31.0,11,0,10.0
2020-04-20,737535,33.0,3,0,7.857142857142857
2020-04-21,737536,33.0,2,0,7.428571428571429
2020-04-22,737537,34.0,6,0,7.0
2020-04-23,737538,36.0,3,0,6.428571428571429
2020-04-24,737539,23.0,3,0,5.285714285714286
2020-04-25,737540,25.0,8,0,5.142857142857143
2020-04-26,737541,21.0,6,0,4.428571428571429
2020-04-27,737542,25.0,3,0,4.428571428571429
2020-04-28,737543,26.0,5,0,4.857142857142857
2020-04-29,737544,20.0,0,0,4.0
2020-04-30,737545,21.0,4,0,4.142857142857143
2020-05-01,737546,19.0,13,0,5.571428571428571
2020-05-02,737547,18.0,4,0,5.0
2020-05-03,737548,16.0,11,0,5.714285714285714
2020-05-04,737549,16.0,5,0,6.0
2020-05-05,737550,21.0,5,0,6.0
2020-05-06,737551,12.0,3,0,6.428571428571429
2020-05-07,737552,12.0,4,0,6.428571428571429
2020-05-08,737553,13.0,2,0,4.857142857142857
2020-05-09,737554,18.0,2,0,4.571428571428571
2020-05-10,737555,18.0,7,0,4.0
2020-05-11,737556,16.0,0,0,3.2857142857142856
2020-05-12,737557,20.0,1,0,2.7142857142857144
2020-05-13,737558,15.0,2,0,2.5714285714285716
2020-05-14,737559,13.0,1,0,2.142857142857143
2020-05-15,737560,14.0,1,0,2.0
2020-05-16,737561,17.0,1,0,1.8571428571428572
2020-05-17,737562,13.0,6,0,1.7142857142857142
2020-05-18,737563,15.0,0,0,1.7142857142857142
2020-05-19,737564,14.0,4,0,2.142857142857143
2020-05-20,737565,8.0,1,0,2.0
2020-05-21,737566,12.0,5,0,2.5714285714285716
2020-05-22,737567,13.0,2,0,2.7142857142857144
2020-05-23,737568,17.0,2,0,2.857142857142857
2020-05-24,737569,10.0,2,0,2.2857142857142856
2020-05-25,737570,7.0,6,0,3.142857142857143
2020-05-26,737571,16.0,5,0,3.2857142857142856
2020-05-27,737572,16.0,2,0,3.4285714285714284
2020-05-28,737573,9.0,4,0,3.2857142857142856
2020-05-29,737574,9.0,1,0,3.142857142857143
2020-05-30,737575,5.0,2,0,3.142857142857143
2020-05-31,737576,7.0,4,0,3.4285714285714284
2020-06-01,737577,10.0,3,0,3.0
2020-06-02,737578,10.0,0,0,2.2857142857142856
2020-06-03,737579,16.0,2,0,2.2857142857142856
2020-06-04,737580,11.0,36,0,6.857142857142857
2020-06-05,737581,15.0,1,0,6.857142857142857
2020-06-06,737582,11.0,17,0,9.0
2020-06-07,737583,14.0,16,0,10.714285714285714
2020-06-08,737584,11.0,12,0,12.0
2020-06-09,737585,12.0,8,0,13.142857142857142
2020-06-10,737586,7.0,10,0,14.285714285714286
2020-06-11,737587,8.0,16,0,11.428571428571429
2020-06-12,737588,8.0,9,0,12.571428571428571
2020-06-13,737589,10.0,4,0,10.714285714285714
2020-06-14,737590,9.0,2,0,8.714285714285714
2020-06-15,737591,13.0,1,0,7.142857142857143
2020-06-16,737592,8.0,3,0,6.428571428571429
2020-06-17,737593,9.0,0,0,5.0
2020-06-18,737594,15.0,5,0,3.4285714285714284
2020-06-19,737595,7.0,8,0,3.2857142857142856
2020-06-20,737596,7.0,3,0,3.142857142857143
2020-06-21,737597,5.0,12,0,4.571428571428571
2020-06-22,737598,5.0,4,0,5.0
2020-06-23,737599,10.0,1,0,4.714285714285714
2020-06-24,737600,4.0,9,0,6.0
2020-06-25,737601,9.0,7,0,6.285714285714286
2020-06-26,737602,9.0,8,0,6.285714285714286
2020-06-27,737603,12.0,2,0,6.142857142857143
2020-06-28,737604,7.0,1,0,4.571428571428571
2020-06-29,737605,8.0,3,0,4.428571428571429
2020-06-30,737606,10.0,0,0,4.285714285714286
2020-07-01,737607,12.0,2,0,3.2857142857142856
2020-07-02,737608,12.0,15,0,4.428571428571429
2020-07-03,737609,13.0,9,0,4.571428571428571
2020-07-04,737610,11.0,2,0,4.571428571428571
2020-07-05,737611,14.0,11,0,6.0
2020-07-06,737612,6.0,2,0,5.857142857142857
2020-07-07,737613,10.0,2,0,6.142857142857143
2020-07-08,737614,13.0,2,0,6.142857142857143
2020-07-09,737615,6.0,14,0,6.0
2020-07-10,737616,10.0,4,0,5.285714285714286
2020-07-11,737617,12.0,5,0,5.714285714285714
2020-07-12,737618,3.0,12,0,5.857142857142857
2020-07-13,737619,8.0,6,0,6.428571428571429
2020-07-14,737620,7.0,4,0,6.714285714285714
2020-07-15,737621,18.0,12,0,8.142857142857142
2020-07-16,737622,19.0,9,0,7.428571428571429
2020-07-17,737623,14.0,9,0,8.142857142857142
2020-07-18,737624,14.0,3,0,7.857142857142857
2020-07-19,737625,11.0,7,0,7.142857142857143
2020-07-20,737626,11.0,9,0,7.571428571428571
2020-07-21,737627,10.0,4,0,7.571428571428571
2020-07-22,737628,11.0,2,0,6.142857142857143
2020-07-23,737629,19.0,11,0,6.428571428571429
2020-07-24,737630,17.0,4,0,5.714285714285714
2020-07-25,737631,13.0,13,0,7.142857142857143
2020-07-26,737632,16.0,4,0,6.714285714285714
2020-07-27,737633,8.0,2,0,5.714285714285714
2020-07-28,737634,12.0,3,0,5.571428571428571
2020-07-29,737635,9.0,1,0,5.428571428571429
2020-07-30,737636,6.0,1,0,4.0
2020-07-31,737637,6.0,8,0,4.571428571428571
2020-08-01,737638,10.0,4,0,3.2857142857142856
2020-08-02,737639,9.0,4,0,3.2857142857142856
2020-08-03,737640,9.0,1,0,3.142857142857143
2020-08-04,737641,5.0,2,0,3.0
2020-08-05,737642,4.0,5,0,3.5714285714285716
2020-08-06,737643,10.0,10,0,4.857142857142857
2020-08-07,737644,9.0,1,0,3.857142857142857
2020-08-08,737645,8.0,6,0,4.142857142857143
2020-08-09,737646,11.0,4,0,4.142857142857143
2020-08-10,737647,14.0,3,0,4.428571428571429
2020-08-11,737648,15.0,10,0,5.571428571428571
2020-08-12,737649,9.0,5,0,5.571428571428571
2020-08-13,737650,13.0,5,0,4.857142857142857
2020-08-14,737651,13.0,16,0,7.0
2020-08-15,737652,12.0,7,0,7.142857142857143
2020-08-16,737653,18.0,5,0,7.285714285714286
2020-08-17,737654,11.0,11,0,8.428571428571429
2020-08-18,737655,11.0,3,0,7.428571428571429
2020-08-19,737656,9.0,2,0,7.0
2020-08-20,737657,8.0,4,0,6.857142857142857
2020-08-21,737658,7.0,4,0,5.142857142857143
2020-08-22,737659,12.0,10,0,5.571428571428571
2020-08-23,737660,8.0,5,0,5.571428571428571
2020-08-24,737661,6.0,8,0,5.142857142857143
2020-08-25,737662,9.0,6,0,5.571428571428571
2020-08-26,737663,6.0,3,0,5.714285714285714
2020-08-27,737664,14.0,11,0,6.714285714285714
2020-08-28,737665,3.0,2,0,6.428571428571429
2020-08-29,737666,11.0,12,0,6.714285714285714
2020-08-30,737667,13.0,11,0,7.571428571428571
2020-08-31,737668,1.0,5,0,7.142857142857143
2020-09-01,737669,3.0,6,0,7.142857142857143
2020-09-02,737670,2.0,2,0,7.0
2020-09-03,737671,2.0,5,0,6.142857142857143
2020-09-04,737672,3.0,10,0,7.285714285714286
2020-09-05,737673,3.0,4,0,6.142857142857143
2020-09-06,737674,3.0,0,0,4.571428571428571
2020-09-07,737675,1.0,4,0,4.428571428571429
2020-09-08,737676,3.0,2,0,3.857142857142857
2020-09-09,737677,4.0,5,0,4.285714285714286
2020-09-10,737678,4.0,3,0,4.0
2020-09-11,737679,4.0,8,0,3.7142857142857144
2020-09-12,737680,3.0,9,0,4.428571428571429
2020-09-13,737681,4.0,7,0,5.428571428571429
2020-09-14,737682,2.0,11,0,6.428571428571429
2020-09-15,737683,6.0,7,0,7.142857142857143
2020-09-16,737684,4.0,2,0,6.714285714285714
2020-09-17,737685,1.0,2,0,6.571428571428571
2020-09-18,737686,5.0,2,0,5.714285714285714
2020-09-19,737687,3.0,3,0,4.857142857142857
2020-09-20,737688,2.0,5,0,4.571428571428571
2020-09-21,737689,4.0,3,0,3.4285714285714284
2020-09-22,737690,1.0,2,0,2.7142857142857144
2020-09-23,737691,1.0,1,0,2.5714285714285716
2020-09-24,737692,2.0,2,0,2.5714285714285716
2020-09-25,737693,0.0,7,0,3.2857142857142856
2020-09-26,737694,1.0,5,0,3.5714285714285716
2020-09-27,737695,2.0,2,0,3.142857142857143
2020-09-28,737696,3.0,2,0,3.0
2020-09-29,737697,6.0,3,0,3.142857142857143
2020-09-30,737698,4.0,3,0,3.4285714285714284
2020-10-01,737699,1.0,3,0,3.5714285714285716
2020-10-02,737700,0.0,9,0,3.857142857142857
2020-10-03,737701,1.0,8,0,4.285714285714286
2020-10-04,737702,1.0,6,0,4.857142857142857
2020-10-05,737703,7.0,32,0,9.142857142857142
2020-10-06,737704,5.0,4,0,9.285714285714286
2020-10-07,737705,3.0,4,0,9.428571428571429
2020-10-08,737706,1.0,10,0,10.428571428571429
2020-10-09,737707,0.0,9,0,10.428571428571429
2020-10-10,737708,0.0,10,0,10.714285714285714
2020-10-11,737709,0.0,9,0,11.142857142857142
2020-10-12,737710,0.0,8,0,7.714285714285714
2020-10-13,737711,5.0,11,0,8.714285714285714
2020-10-14,737712,0.0,3,0,8.571428571428571
2020-10-15,737713,6.0,16,0,9.428571428571429
2020-10-16,737714,2.0,12,0,9.857142857142858
2020-10-17,737715,3.0,9,0,9.714285714285714
2020-10-18,737716,2.0,10,0,9.857142857142858
2020-10-19,737717,3.0,8,0,9.857142857142858
2020-10-20,737718,0.0,11,0,9.857142857142858
2020-10-21,737719,5.0,20,0,12.285714285714286
2020-10-22,737720,7.0,16,0,12.285714285714286
2020-10-23,737721,3.0,29,0,14.714285714285714
2020-10-24,737722,3.0,25,0,17.0
2020-10-25,737723,2.0,29,0,19.714285714285715
2020-10-26,737724,9.0,9,0,19.857142857142858
2020-10-27,737725,7.0,29,0,22.428571428571427
2020-10-28,737726,6.0,10,0,21.0
2020-10-29,737727,6.0,15,0,20.857142857142858
2020-10-30,737728,4.0,19,0,19.428571428571427
2020-10-31,737729,4.0,21,0,18.857142857142858
2020-11-01,737730,5.0,17,0,17.142857142857142
2020-11-02,737731,6.0,23,0,19.142857142857142
2020-11-03,737732,5.0,21,0,18.0
2020-11-04,737733,8.0,27,0,20.428571428571427
2020-11-05,737734,5.0,38,0,23.714285714285715
2020-11-06,737735,9.0,26,0,24.714285714285715
2020-11-07,737736,4.0,26,0,25.428571428571427
2020-11-08,737737,6.0,53,0,30.571428571428573
2020-11-09,737738,10.0,25,0,30.857142857142858
2020-11-10,737739,12.0,50,0,35.0
2020-11-11,737740,14.0,88,0,43.714285714285715
2020-11-12,737741,19.0,122,0,55.714285714285715
2020-11-13,737742,21.0,98,0,66.0
2020-11-14,737743,16.0,97,0,76.14285714285714
2020-11-15,737744,15.0,44,0,74.85714285714286
2020-11-16,737745,19.0,121,0,88.57142857142857
