date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,49.0,442,0,
2020-03-29,737513,49.0,453,0,453.0
2020-03-30,737514,125.0,377,0,415.0
2020-03-31,737515,193.0,456,0,428.6666666666667
2020-04-01,737516,268.0,428,0,428.5
2020-04-02,737517,292.0,464,0,435.6
2020-04-03,737518,297.0,343,0,420.1666666666667
2020-04-04,737519,297.0,490,0,430.14285714285717
2020-04-05,737520,278.0,395,0,421.85714285714283
2020-04-06,737521,301.0,385,0,423.0
2020-04-07,737522,618.0,318,0,403.2857142857143
2020-04-08,737523,726.0,322,0,388.14285714285717
2020-04-09,737524,702.0,404,0,379.57142857142856
2020-04-10,737525,779.0,284,0,371.14285714285717
2020-04-11,737526,782.0,458,0,366.57142857142856
2020-04-12,737527,769.0,237,0,344.0
2020-04-13,737528,787.0,265,0,326.85714285714283
2020-04-14,737529,692.0,248,0,316.85714285714283
2020-04-15,737530,742.0,219,0,302.14285714285717
2020-04-16,737531,768.0,323,0,290.57142857142856
2020-04-17,737532,796.0,262,0,287.42857142857144
2020-04-18,737533,751.0,354,0,272.57142857142856
2020-04-19,737534,757.0,245,0,273.7142857142857
2020-04-20,737535,764.0,275,0,275.14285714285717
2020-04-21,737536,728.0,236,0,273.42857142857144
2020-04-22,737537,685.0,204,0,271.2857142857143
2020-04-23,737538,685.0,195,0,253.0
2020-04-24,737539,747.0,271,0,254.28571428571428
2020-04-25,737540,699.0,310,0,248.0
2020-04-26,737541,758.0,239,0,247.14285714285714
2020-04-27,737542,801.0,230,0,240.71428571428572
2020-04-28,737543,842.0,156,0,229.28571428571428
2020-04-29,737544,848.0,233,0,233.42857142857142
2020-04-30,737545,691.0,274,0,244.71428571428572
2020-05-01,737546,827.0,297,0,248.42857142857142
2020-05-02,737547,854.0,377,0,258.0
2020-05-03,737548,741.0,215,0,254.57142857142858
2020-05-04,737549,696.0,279,0,261.57142857142856
2020-05-05,737550,720.0,144,0,259.85714285714283
2020-05-06,737551,621.0,304,0,270.0
2020-05-07,737552,620.0,334,0,278.57142857142856
2020-05-08,737553,627.0,151,0,257.7142857142857
2020-05-09,737554,627.0,304,0,247.28571428571428
2020-05-10,737555,607.0,213,0,247.0
2020-05-11,737556,622.0,240,0,241.42857142857142
2020-05-12,737557,716.0,207,0,250.42857142857142
2020-05-13,737558,695.0,120,0,224.14285714285714
2020-05-14,737559,680.0,258,0,213.28571428571428
2020-05-15,737560,635.0,181,0,217.57142857142858
2020-05-16,737561,610.0,347,0,223.71428571428572
2020-05-17,737562,600.0,148,0,214.42857142857142
2020-05-18,737563,607.0,172,0,204.71428571428572
2020-05-19,737564,605.0,190,0,202.28571428571428
2020-05-20,737565,607.0,175,0,210.14285714285714
2020-05-21,737566,607.0,135,0,192.57142857142858
2020-05-22,737567,606.0,152,0,188.42857142857142
2020-05-23,737568,614.0,328,0,185.71428571428572
2020-05-24,737569,554.0,248,0,200.0
2020-05-25,737570,608.0,267,0,213.57142857142858
2020-05-26,737571,584.0,127,0,204.57142857142858
2020-05-27,737572,587.0,152,0,201.28571428571428
2020-05-28,737573,577.0,356,0,232.85714285714286
2020-05-29,737574,525.0,302,0,254.28571428571428
2020-05-30,737575,520.0,278,0,247.14285714285714
2020-05-31,737576,506.0,352,0,262.0
2020-06-01,737577,505.0,271,0,262.57142857142856
2020-06-02,737578,506.0,205,0,273.7142857142857
2020-06-03,737579,474.0,277,0,291.57142857142856
2020-06-04,737580,515.0,248,0,276.14285714285717
2020-06-05,737581,407.0,260,0,270.14285714285717
2020-06-06,737582,394.0,459,0,296.0
2020-06-07,737583,375.0,283,0,286.14285714285717
2020-06-08,737584,385.0,311,0,291.85714285714283
2020-06-09,737585,376.0,300,0,305.42857142857144
2020-06-10,737586,403.0,251,0,301.7142857142857
2020-06-11,737587,406.0,262,0,303.7142857142857
2020-06-12,737588,353.0,284,0,307.14285714285717
2020-06-13,737589,356.0,366,0,293.85714285714283
2020-06-14,737590,369.0,282,0,293.7142857142857
2020-06-15,737591,386.0,333,0,296.85714285714283
2020-06-16,737592,402.0,372,0,307.14285714285717
2020-06-17,737593,423.0,257,0,308.0
2020-06-18,737594,418.0,406,0,328.57142857142856
2020-06-19,737595,404.0,415,0,347.2857142857143
2020-06-20,737596,388.0,616,0,383.0
2020-06-21,737597,398.0,451,0,407.14285714285717
2020-06-22,737598,449.0,198,0,387.85714285714283
2020-06-23,737599,441.0,521,0,409.14285714285717
2020-06-24,737600,426.0,480,0,441.0
2020-06-25,737601,407.0,498,0,454.14285714285717
2020-06-26,737602,431.0,494,0,465.42857142857144
2020-06-27,737603,407.0,556,0,456.85714285714283
2020-06-28,737604,432.0,344,0,441.57142857142856
2020-06-29,737605,476.0,501,0,484.85714285714283
2020-06-30,737606,500.0,564,0,491.0
2020-07-01,737607,472.0,609,0,509.42857142857144
2020-07-02,737608,466.0,711,0,539.8571428571429
2020-07-03,737609,439.0,755,0,577.1428571428571
2020-07-04,737610,420.0,351,0,547.8571428571429
2020-07-05,737611,438.0,642,0,590.4285714285714
2020-07-06,737612,504.0,1056,0,669.7142857142857
2020-07-07,737613,532.0,435,0,651.2857142857143
2020-07-08,737614,485.0,524,0,639.1428571428571
2020-07-09,737615,497.0,646,0,629.8571428571429
2020-07-10,737616,490.0,639,0,613.2857142857143
2020-07-11,737617,483.0,604,0,649.4285714285714
2020-07-12,737618,318.0,866,0,681.4285714285714
2020-07-13,737619,309.0,1077,0,684.4285714285714
2020-07-14,737620,344.0,546,0,700.2857142857143
2020-07-15,737621,533.0,743,0,731.5714285714286
2020-07-16,737622,488.0,1262,0,819.5714285714286
2020-07-17,737623,535.0,754,0,836.0
2020-07-18,737624,469.0,971,0,888.4285714285714
2020-07-19,737625,490.0,934,0,898.1428571428571
2020-07-20,737626,489.0,795,0,857.8571428571429
2020-07-21,737627,479.0,840,0,899.8571428571429
2020-07-22,737628,505.0,660,0,888.0
2020-07-23,737629,531.0,733,0,812.4285714285714
2020-07-24,737630,529.0,851,0,826.2857142857143
2020-07-25,737631,533.0,1039,0,836.0
2020-07-26,737632,504.0,799,0,816.7142857142857
2020-07-27,737633,555.0,670,0,798.8571428571429
2020-07-28,737634,561.0,864,0,802.2857142857143
2020-07-29,737635,545.0,782,0,819.7142857142857
2020-07-30,737636,511.0,775,0,825.7142857142857
2020-07-31,737637,547.0,986,0,845.0
2020-08-01,737638,560.0,850,0,818.0
2020-08-02,737639,575.0,630,0,793.8571428571429
2020-08-03,737640,554.0,551,0,776.8571428571429
2020-08-04,737641,569.0,681,0,750.7142857142857
2020-08-05,737642,545.0,685,0,736.8571428571429
2020-08-06,737643,614.0,832,0,745.0
2020-08-07,737644,567.0,723,0,707.4285714285714
2020-08-08,737645,489.0,897,0,714.1428571428571
2020-08-09,737646,514.0,606,0,710.7142857142857
2020-08-10,737647,530.0,580,0,714.8571428571429
2020-08-11,737648,571.0,491,0,687.7142857142857
2020-08-12,737649,508.0,542,0,667.2857142857143
2020-08-13,737650,594.0,643,0,640.2857142857143
2020-08-14,737651,554.0,815,0,653.4285714285714
2020-08-15,737652,546.0,736,0,630.4285714285714
2020-08-16,737653,562.0,592,0,628.4285714285714
2020-08-17,737654,305.0,273,0,584.5714285714286
2020-08-18,737655,374.0,532,0,590.4285714285714
2020-08-19,737656,361.0,537,0,589.7142857142857
2020-08-20,737657,346.0,741,0,603.7142857142857
2020-08-21,737658,334.0,518,0,561.2857142857143
2020-08-22,737659,335.0,827,0,574.2857142857143
2020-08-23,737660,308.0,464,0,556.0
2020-08-24,737661,299.0,343,0,566.0
2020-08-25,737662,459.0,347,0,539.5714285714286
2020-08-26,737663,475.0,473,0,530.4285714285714
2020-08-27,737664,467.0,582,0,507.7142857142857
2020-08-28,737665,444.0,584,0,517.1428571428571
2020-08-29,737666,429.0,619,0,487.42857142857144
2020-08-30,737667,420.0,465,0,487.57142857142856
2020-08-31,737668,407.0,310,0,482.85714285714283
2020-09-01,737669,411.0,307,0,477.14285714285717
2020-09-02,737670,402.0,475,0,477.42857142857144
2020-09-03,737671,407.0,562,0,474.57142857142856
2020-09-04,737672,427.0,498,0,462.2857142857143
2020-09-05,737673,393.0,525,0,448.85714285714283
2020-09-06,737674,409.0,420,0,442.42857142857144
2020-09-07,737675,360.0,316,0,443.2857142857143
2020-09-08,737676,377.0,197,0,427.57142857142856
2020-09-09,737677,397.0,290,0,401.14285714285717
2020-09-10,737678,390.0,499,0,392.14285714285717
2020-09-11,737679,377.0,600,0,406.7142857142857
2020-09-12,737680,381.0,495,0,402.42857142857144
2020-09-13,737681,369.0,364,0,394.42857142857144
2020-09-14,737682,383.0,318,0,394.7142857142857
2020-09-15,737683,386.0,338,0,414.85714285714283
2020-09-16,737684,379.0,385,0,428.42857142857144
2020-09-17,737685,405.0,421,0,417.2857142857143
2020-09-18,737686,393.0,422,0,391.85714285714283
2020-09-19,737687,393.0,632,0,411.42857142857144
2020-09-20,737688,393.0,383,0,414.14285714285717
2020-09-21,737689,438.0,305,0,412.2857142857143
2020-09-22,737690,464.0,356,0,414.85714285714283
2020-09-23,737691,465.0,547,0,438.0
2020-09-24,737692,449.0,585,0,461.42857142857144
2020-09-25,737693,436.0,1027,0,547.8571428571429
2020-09-26,737694,393.0,650,0,550.4285714285714
2020-09-27,737695,414.0,460,0,561.4285714285714
2020-09-28,737696,404.0,390,0,573.5714285714286
2020-09-29,737697,402.0,385,0,577.7142857142857
2020-09-30,737698,368.0,535,0,576.0
2020-10-01,737699,294.0,639,0,583.7142857142857
2020-10-02,737700,378.0,715,0,539.1428571428571
2020-10-03,737701,303.0,647,0,538.7142857142857
2020-10-04,737702,381.0,479,0,541.4285714285714
2020-10-05,737703,360.0,424,0,546.2857142857143
2020-10-06,737704,417.0,415,0,550.5714285714286
2020-10-07,737705,398.0,551,0,552.8571428571429
2020-10-08,737706,394.0,764,0,570.7142857142857
2020-10-09,737707,402.0,697,0,568.1428571428571
2020-10-10,737708,390.0,570,0,557.1428571428571
2020-10-11,737709,419.0,848,0,609.8571428571429
2020-10-12,737710,388.0,381,0,603.7142857142857
2020-10-13,737711,407.0,594,0,629.2857142857143
2020-10-14,737712,400.0,697,0,650.1428571428571
2020-10-15,737713,388.0,700,0,641.0
2020-10-16,737714,385.0,777,0,652.4285714285714
2020-10-17,737715,384.0,830,0,689.5714285714286
2020-10-18,737716,397.0,566,0,649.2857142857143
2020-10-19,737717,404.0,467,0,661.5714285714286
2020-10-20,737718,403.0,493,0,647.1428571428571
2020-10-21,737719,430.0,803,0,662.2857142857143
2020-10-22,737720,414.0,707,0,663.2857142857143
2020-10-23,737721,403.0,810,0,668.0
2020-10-24,737722,390.0,949,0,685.0
2020-10-25,737723,409.0,741,0,710.0
2020-10-26,737724,426.0,596,0,728.4285714285714
2020-10-27,737725,428.0,544,0,735.7142857142857
2020-10-28,737726,448.0,758,0,729.2857142857143
2020-10-29,737727,440.0,883,0,754.4285714285714
2020-10-30,737728,477.0,1112,0,797.5714285714286
2020-10-31,737729,439.0,978,0,801.7142857142857
2020-11-01,737730,460.0,875,0,820.8571428571429
2020-11-02,737731,475.0,1040,0,884.2857142857143
2020-11-03,737732,477.0,746,0,913.1428571428571
2020-11-04,737733,489.0,1536,0,1024.2857142857142
2020-11-05,737734,493.0,1126,0,1059.0
2020-11-06,737735,513.0,1770,0,1153.0
2020-11-07,737736,490.0,1748,0,1263.0
2020-11-08,737737,539.0,1450,0,1345.142857142857
2020-11-09,737738,562.0,1248,0,1374.857142857143
2020-11-10,737739,612.0,1420,0,1471.142857142857
2020-11-11,737740,646.0,1664,0,1489.4285714285713
2020-11-12,737741,656.0,2029,0,1618.4285714285713
2020-11-13,737742,602.0,2244,0,1686.142857142857
2020-11-14,737743,672.0,2311,0,1766.5714285714287
2020-11-15,737744,635.0,2251,0,1881.0
2020-11-16,737745,735.0,1579,0,1928.2857142857142
2020-11-17,737746,766.0,2600,0,2096.8571428571427
2020-11-18,737747,819.0,1554,0,2081.1428571428573
2020-11-19,737748,863.0,2110,0,2092.714285714286
2020-11-20,737749,869.0,2182,0,2083.8571428571427
2020-11-21,737750,906.0,1876,0,2021.7142857142858
2020-11-22,737751,886.0,2651,0,2078.8571428571427
2020-11-23,737752,921.0,3556,0,2361.285714285714
2020-11-24,737753,981.0,3286,0,2459.285714285714
2020-11-25,737754,945.0,3014,0,2667.8571428571427
2020-11-26,737755,946.0,2873,0,2776.8571428571427
2020-11-27,737756,951.0,2060,0,2759.4285714285716
2020-11-28,737757,970.0,2390,0,2832.8571428571427
2020-11-29,737758,981.0,2108,0,2755.285714285714
