date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,10.0,17,0,
2020-03-29,737513,15.0,11,0,11.0
2020-03-30,737514,44.0,21,0,16.0
2020-03-31,737515,48.0,17,0,16.333333333333332
2020-04-01,737516,165.0,29,0,19.5
2020-04-02,737517,161.0,26,0,20.8
2020-04-03,737518,171.0,20,0,20.666666666666668
2020-04-04,737519,175.0,45,0,24.142857142857142
2020-04-05,737520,139.0,42,0,28.571428571428573
2020-04-06,737521,163.0,21,0,28.571428571428573
2020-04-07,737522,134.0,67,0,35.714285714285715
2020-04-08,737523,162.0,0,0,31.571428571428573
2020-04-09,737524,158.0,111,0,43.714285714285715
2020-04-10,737525,133.0,51,0,48.142857142857146
2020-04-11,737526,120.0,17,0,44.142857142857146
2020-04-12,737527,138.0,20,0,41.0
2020-04-13,737528,191.0,15,0,40.142857142857146
2020-04-14,737529,222.0,68,0,40.285714285714285
2020-04-15,737530,200.0,24,0,43.714285714285715
2020-04-16,737531,197.0,21,0,30.857142857142858
2020-04-17,737532,209.0,36,0,28.714285714285715
2020-04-18,737533,246.0,50,0,33.42857142857143
2020-04-19,737534,228.0,38,0,36.0
2020-04-20,737535,288.0,39,0,39.42857142857143
2020-04-21,737536,258.0,12,0,31.428571428571427
2020-04-22,737537,92.0,49,0,35.0
2020-04-23,737538,215.0,18,0,34.57142857142857
2020-04-24,737539,225.0,29,0,33.57142857142857
2020-04-25,737540,189.0,15,0,28.571428571428573
2020-04-26,737541,202.0,28,0,27.142857142857142
2020-04-27,737542,193.0,24,0,25.0
2020-04-28,737543,245.0,18,0,25.857142857142858
2020-04-29,737544,165.0,14,0,20.857142857142858
2020-04-30,737545,187.0,16,0,20.571428571428573
2020-05-01,737546,175.0,26,0,20.142857142857142
2020-05-02,737547,194.0,33,0,22.714285714285715
2020-05-03,737548,177.0,11,0,20.285714285714285
2020-05-04,737549,175.0,29,0,21.0
2020-05-05,737550,144.0,18,0,21.0
2020-05-06,737551,160.0,34,0,23.857142857142858
2020-05-07,737552,157.0,21,0,24.571428571428573
2020-05-08,737553,169.0,26,0,24.571428571428573
2020-05-09,737554,155.0,24,0,23.285714285714285
2020-05-10,737555,128.0,15,0,23.857142857142858
2020-05-11,737556,155.0,7,0,20.714285714285715
2020-05-12,737557,148.0,9,0,19.428571428571427
2020-05-13,737558,147.0,26,0,18.285714285714285
2020-05-14,737559,132.0,30,0,19.571428571428573
2020-05-15,737560,150.0,13,0,17.714285714285715
2020-05-16,737561,166.0,23,0,17.571428571428573
2020-05-17,737562,161.0,20,0,18.285714285714285
2020-05-18,737563,172.0,12,0,19.0
2020-05-19,737564,185.0,12,0,19.428571428571427
2020-05-20,737565,149.0,53,0,23.285714285714285
2020-05-21,737566,167.0,36,0,24.142857142857142
2020-05-22,737567,129.0,102,0,36.857142857142854
2020-05-23,737568,132.0,24,0,37.0
2020-05-24,737569,135.0,42,0,40.142857142857146
2020-05-25,737570,149.0,11,0,40.0
2020-05-26,737571,137.0,72,0,48.57142857142857
2020-05-27,737572,175.0,45,0,47.42857142857143
2020-05-28,737573,160.0,36,0,47.42857142857143
2020-05-29,737574,151.0,37,0,38.142857142857146
2020-05-30,737575,141.0,17,0,37.142857142857146
2020-05-31,737576,122.0,21,0,34.142857142857146
2020-06-01,737577,104.0,18,0,35.142857142857146
2020-06-02,737578,123.0,28,0,28.857142857142858
2020-06-03,737579,133.0,21,0,25.428571428571427
2020-06-04,737580,113.0,25,0,23.857142857142858
2020-06-05,737581,89.0,17,0,21.0
2020-06-06,737582,105.0,17,0,21.0
2020-06-07,737583,86.0,8,0,19.142857142857142
2020-06-08,737584,110.0,17,0,19.0
2020-06-09,737585,93.0,18,0,17.571428571428573
2020-06-10,737586,89.0,14,0,16.571428571428573
2020-06-11,737587,92.0,24,0,16.428571428571427
2020-06-12,737588,97.0,32,0,18.571428571428573
2020-06-13,737589,93.0,25,0,19.714285714285715
2020-06-14,737590,76.0,16,0,20.857142857142858
2020-06-15,737591,68.0,32,0,23.0
2020-06-16,737592,70.0,19,0,23.142857142857142
2020-06-17,737593,65.0,35,0,26.142857142857142
2020-06-18,737594,80.0,42,0,28.714285714285715
2020-06-19,737595,80.0,50,0,31.285714285714285
2020-06-20,737596,68.0,32,0,32.285714285714285
2020-06-21,737597,73.0,43,0,36.142857142857146
2020-06-22,737598,72.0,28,0,35.57142857142857
2020-06-23,737599,90.0,22,0,36.0
2020-06-24,737600,121.0,36,0,36.142857142857146
2020-06-25,737601,104.0,65,0,39.42857142857143
2020-06-26,737602,115.0,36,0,37.42857142857143
2020-06-27,737603,89.0,52,0,40.285714285714285
2020-06-28,737604,73.0,50,0,41.285714285714285
2020-06-29,737605,89.0,38,0,42.714285714285715
2020-06-30,737606,91.0,35,0,44.57142857142857
2020-07-01,737607,87.0,74,0,50.0
2020-07-02,737608,79.0,74,0,51.285714285714285
2020-07-03,737609,77.0,73,0,56.57142857142857
2020-07-04,737610,78.0,79,0,60.42857142857143
2020-07-05,737611,91.0,130,0,71.85714285714286
2020-07-06,737612,1246.0,107,0,81.71428571428571
2020-07-07,737613,115.0,63,0,85.71428571428571
2020-07-08,737614,124.0,202,0,104.0
2020-07-09,737615,126.0,119,0,110.42857142857143
2020-07-10,737616,137.0,157,0,122.42857142857143
2020-07-11,737617,137.0,163,0,134.42857142857142
2020-07-12,737618,139.0,98,0,129.85714285714286
2020-07-13,737619,159.0,69,0,124.42857142857143
2020-07-14,737620,162.0,94,0,128.85714285714286
2020-07-15,737621,264.0,150,0,121.42857142857143
2020-07-16,737622,238.0,100,0,118.71428571428571
2020-07-17,737623,269.0,126,0,114.28571428571429
2020-07-18,737624,235.0,139,0,110.85714285714286
2020-07-19,737625,235.0,120,0,114.0
2020-07-20,737626,155.0,100,0,118.42857142857143
2020-07-21,737627,174.0,57,0,113.14285714285714
2020-07-22,737628,182.0,262,0,129.14285714285714
2020-07-23,737629,184.0,89,0,127.57142857142857
2020-07-24,737630,161.0,145,0,130.28571428571428
2020-07-25,737631,372.0,126,0,128.42857142857142
