date,day_number,beds,cases,vaccines,cases_7day
2020-03-28,737512,6.0,11,0,
2020-03-29,737513,6.0,3,0,3.0
2020-03-30,737514,5.0,8,0,5.5
2020-03-31,737515,4.0,25,0,12.0
2020-04-01,737516,21.0,17,0,13.25
2020-04-02,737517,20.0,13,0,13.2
2020-04-03,737518,15.0,16,0,13.666666666666666
2020-04-04,737519,13.0,21,0,14.714285714285714
2020-04-05,737520,19.0,13,0,16.142857142857142
2020-04-06,737521,17.0,12,0,16.714285714285715
2020-04-07,737522,27.0,9,0,14.428571428571429
2020-04-08,737523,27.0,9,0,13.285714285714286
2020-04-09,737524,27.0,9,0,12.714285714285714
2020-04-10,737525,15.0,14,0,12.428571428571429
2020-04-11,737526,29.0,8,0,10.571428571428571
2020-04-12,737527,24.0,9,0,10.0
2020-04-13,737528,28.0,103,0,23.0
2020-04-14,737529,42.0,121,0,39.0
2020-04-15,737530,43.0,-101,0,23.285714285714285
2020-04-16,737531,37.0,8,0,23.142857142857142
2020-04-17,737532,32.0,11,0,22.714285714285715
2020-04-18,737533,37.0,11,0,23.142857142857142
2020-04-19,737534,40.0,3,0,22.285714285714285
2020-04-20,737535,35.0,2,0,7.857142857142857
2020-04-21,737536,34.0,13,0,-7.571428571428571
2020-04-22,737537,41.0,6,0,7.714285714285714
2020-04-23,737538,37.0,6,0,7.428571428571429
2020-04-24,737539,30.0,20,0,8.714285714285714
2020-04-25,737540,28.0,18,0,9.714285714285714
2020-04-26,737541,38.0,11,0,10.857142857142858
2020-04-27,737542,38.0,18,0,13.142857142857142
2020-04-28,737543,36.0,16,0,13.571428571428571
2020-04-29,737544,24.0,8,0,13.857142857142858
2020-04-30,737545,32.0,15,0,15.142857142857142
2020-05-01,737546,30.0,7,0,13.285714285714286
2020-05-02,737547,33.0,13,0,12.571428571428571
2020-05-03,737548,34.0,7,0,12.0
2020-05-04,737549,25.0,10,0,10.857142857142858
2020-05-05,737550,28.0,8,0,9.714285714285714
2020-05-06,737551,25.0,27,0,12.428571428571429
2020-05-07,737552,16.0,4,0,10.857142857142858
2020-05-08,737553,21.0,9,0,11.142857142857142
2020-05-09,737554,21.0,9,0,10.571428571428571
2020-05-10,737555,29.0,9,0,10.857142857142858
2020-05-11,737556,23.0,7,0,10.428571428571429
2020-05-12,737557,32.0,6,0,10.142857142857142
2020-05-13,737558,31.0,13,0,8.142857142857142
2020-05-14,737559,28.0,13,0,9.428571428571429
2020-05-15,737560,31.0,15,0,10.285714285714286
2020-05-16,737561,29.0,25,0,12.571428571428571
2020-05-17,737562,31.0,13,0,13.142857142857142
2020-05-18,737563,15.0,12,0,13.857142857142858
2020-05-19,737564,15.0,10,0,14.428571428571429
2020-05-20,737565,15.0,11,0,14.142857142857142
2020-05-21,737566,20.0,14,0,14.285714285714286
2020-05-22,737567,16.0,2,0,12.428571428571429
2020-05-23,737568,17.0,10,0,10.285714285714286
2020-05-24,737569,23.0,25,0,12.0
2020-05-25,737570,20.0,5,0,11.0
2020-05-26,737571,18.0,7,0,10.571428571428571
2020-05-27,737572,12.0,10,0,10.428571428571429
2020-05-28,737573,16.0,16,0,10.714285714285714
2020-05-29,737574,12.0,15,0,12.571428571428571
2020-05-30,737575,11.0,7,0,12.142857142857142
2020-05-31,737576,9.0,5,0,9.285714285714286
2020-06-01,737577,17.0,7,0,9.571428571428571
2020-06-02,737578,16.0,2,0,8.857142857142858
2020-06-03,737579,11.0,3,0,7.857142857142857
2020-06-04,737580,26.0,6,0,6.428571428571429
2020-06-05,737581,28.0,12,0,6.0
2020-06-06,737582,26.0,6,0,5.857142857142857
2020-06-07,737583,21.0,8,0,6.285714285714286
2020-06-08,737584,22.0,13,0,7.142857142857143
2020-06-09,737585,22.0,10,0,8.285714285714286
2020-06-10,737586,16.0,10,0,9.285714285714286
2020-06-11,737587,17.0,29,0,12.571428571428571
2020-06-12,737588,29.0,18,0,13.428571428571429
2020-06-13,737589,30.0,23,0,15.857142857142858
2020-06-14,737590,27.0,10,0,16.142857142857142
2020-06-15,737591,35.0,19,0,17.0
